wave,depth
3500.3331,0.317
3501.717,0.275
3503.467,0.17
3504.4357,0.194
3504.8908,0.638
3507.3949,0.198
3508.2043,0.155
3509.8357,0.245
3510.335,0.193
3510.336,0.33
3510.8399,0.621
3511.824,0.446
3513.8174,0.35
3513.9866,0.506
3515.052,0.47
3515.052,0.365
3517.2994,0.381
3520.252,0.498
3521.2609,0.387
3524.534,0.166
3524.536,0.43
3524.537,0.516
3526.0405,0.294
3526.1655,0.293
3526.3811,0.219
3526.6745,0.205
3527.7925,0.172
3529.8195,0.188
3530.772,0.282
3533.0063,0.199
3533.1981,0.263
3535.4073,0.536
3535.714,0.279
3536.5559,0.331
3541.0831,0.371
3542.0752,0.357
3545.1959,0.354
3545.6397,0.164
3553.7381,0.24
3554.9241,0.434
3556.594,0.151
3556.7999,0.432
3556.8777,0.287
3558.5148,0.452
3558.532,0.386
3561.5755,0.197
3564.5356,0.223
3565.3787,0.543
3565.9669,0.225
3566.372,0.395
3566.372,0.27
3567.696,0.352
3570.0974,0.592
3570.254,0.482
3571.867,0.164
3571.9949,0.234
3572.468,0.235
3572.526,0.569
3573.7315,0.384
3573.8885,0.177
3576.34,0.508
3576.7644,0.413
3578.704,0.401
3580.925,0.466
3581.1927,0.632
3584.6591,0.278
3584.9574,0.234
3585.287,0.583
3585.3186,0.413
3585.492,0.426
3585.7051,0.316
3586.1033,0.222
3586.1126,0.271
3586.9843,0.409
3587.1309,0.336
3587.7521,0.157
3589.632,0.307
3589.7591,0.341
3590.474,0.311
3592.0216,0.353
3593.333,0.252
3593.502,0.369
3594.632,0.213
3596.0465,0.513
3597.704,0.17
3600.7324,0.276
3603.203,0.245
3603.6147,0.312
3603.7727,0.469
3603.8274,0.185
3605.344,0.326
3605.4524,0.288
3605.5003,0.197
3606.679,0.399
3608.8091,0.184
3608.8589,0.534
3610.1589,0.345
3610.463,0.176
3611.0429,0.226
3613.1787,0.272
3613.829,0.594
3614.8822,0.236
3617.7859,0.248
3618.7675,0.55
3619.391,0.446
3619.391,0.345
3621.2644,0.273
3621.4605,0.306
3622.0032,0.261
3623.1858,0.15
3624.826,0.425
3624.8262,0.484
3624.8852,0.193
3630.742,0.55
3631.0968,0.193
3631.461,0.46
3631.4629,0.546
3631.671,0.321
3632.0384,0.193
3633.1212,0.182
3634.6969,0.235
3635.3401,0.167
3635.7461,0.176
3638.2962,0.193
3640.3881,0.276
3641.328,0.483
3641.3282,0.527
3642.784,0.508
3645.311,0.357
3647.3881,0.311
3647.4236,0.334
3647.8422,0.865
3648.7069,0.297
3649.5059,0.756
3650.0294,0.49
3650.0977,0.482
3650.2787,0.466
3650.3584,0.515
3651.4666,0.785
3651.673,0.172
3651.795,0.723
3653.4942,0.154
3653.9686,0.208
3655.4647,0.289
3656.2095,0.249
3656.742,0.429
3658.1605,0.222
3659.5164,0.403
3659.7605,0.846
3661.219,0.16
3662.2325,0.846
3662.256,0.182
3662.8331,0.241
3662.8364,0.168
3663.404,0.208
3664.5368,0.198
3664.6107,0.248
3664.677,0.232
3664.9414,0.446
3665.9845,0.64
3666.095,0.272
3666.2415,0.183
3667.2528,0.286
3667.682,0.314
3667.9859,0.227
3669.1519,0.229
3669.4125,0.235
3669.464,0.36
3669.5207,0.602
3670.0243,0.23
3670.0883,0.371
3671.476,0.411
3673.0827,0.209
3673.759,0.468
3674.714,0.197
3674.7633,0.154
3676.3106,0.338
3676.363,0.531
3677.3055,0.298
3677.4534,0.609
3677.5033,0.163
3677.6276,0.715
3677.667,0.809
3677.8407,0.81
3677.882,0.729
3678.86,0.22
3679.353,0.593
3679.6775,0.464
3679.913,0.803
3680.657,0.171
3680.7844,0.499
3681.2246,0.237
3682.1671,0.228
3682.2104,0.689
3682.2441,0.704
3682.808,0.651
3683.0543,0.298
3683.6114,0.173
3684.1072,0.651
3684.1373,0.201
3684.223,0.537
3685.1813,0.911
3685.1962,0.917
3685.9968,0.703
3686.6732,0.385
3686.831,0.703
3687.4562,0.826
3687.6578,0.348
3688.4605,0.204
3688.801,0.434
3689.4577,0.684
3689.9074,0.196
3690.4547,0.16
3690.7267,0.478
3691.555,0.747
3693.0264,0.179
3694.0058,0.754
3694.1069,0.186
3694.1915,0.266
3695.0513,0.554
3695.1128,0.161
3697.152,0.783
3697.4252,0.448
3697.9963,0.442
3698.152,0.258
3699.1387,0.158
3700.3462,0.245
3701.0858,0.757
3702.0292,0.204
3703.5476,0.183
3703.5839,0.313
3703.6907,0.295
3703.8212,0.182
3703.853,0.81
3704.4607,0.555
3705.5654,0.827
3706.024,0.914
3706.2165,0.828
3707.0371,0.273
3707.0456,0.695
3707.5638,0.301
3707.8218,0.371
3707.9194,0.749
3709.2461,0.833
3709.266,0.194
3709.5336,0.271
3710.2872,0.746
3711.2224,0.242
3711.4079,0.248
3711.971,0.83
3712.8871,0.513
3712.93,0.828
3715.172,0.783
3715.3996,0.4
3715.4638,0.686
3715.9111,0.176
3716.4418,0.625
3718.4063,0.225
3719.9344,0.878
3721.3931,0.197
3721.5023,0.342
3721.6362,0.845
3721.939,0.841
3722.5627,0.827
3723.6023,0.174
3724.0841,0.25
3724.3768,0.559
3725.3056,0.286
3726.9261,0.582
3727.033,0.341
3727.092,0.437
3727.3412,0.649
3727.3755,0.203
3727.6187,0.83
3727.8088,0.352
3728.3417,0.206
3730.3862,0.365
3730.946,0.2
3731.3732,0.152
3732.3961,0.708
3732.7476,0.642
3733.3171,0.815
3734.368,0.856
3734.8635,0.881
3735.3236,0.623
3736.9017,0.92
3737.1312,0.867
3738.3048,0.654
3738.3591,0.593
3739.5227,0.324
3740.239,0.337
3741.5546,0.282
3741.6383,0.869
3742.6165,0.273
3743.3618,0.815
3743.4676,0.65
3744.1023,0.339
3745.4707,0.476
3745.5608,0.855
3745.7992,0.597
3745.8991,0.818
3745.966,0.186
3746.562,0.396
3746.9268,0.51
3748.0028,0.684
3748.2618,0.84
3748.487,0.776
3748.6692,0.325
3748.9645,0.531
3749.4848,0.871
3750.152,0.863
3750.8677,0.555
3751.59,0.228
3752.4151,0.228
3753.6105,0.552
3754.5692,0.454
3755.5679,0.398
3756.9371,0.423
3757.6849,0.843
3758.2326,0.86
3759.2914,0.919
3759.4624,0.692
3760.0493,0.49
3760.2208,0.171
3760.5316,0.313
3761.3206,0.917
3761.6724,0.17
3761.8446,0.154
3761.872,0.738
3762.892,0.398
3763.7299,0.165
3763.7886,0.847
3764.0961,0.296
3764.2081,0.587
3765.5383,0.792
3765.5849,0.293
3767.1914,0.838
3768.0266,0.165
3769.4591,0.803
3769.9867,0.335
3770.63,0.844
3770.9662,0.507
3774.3298,0.649
3774.6471,0.211
3774.8239,0.22
3775.571,0.269
3776.0534,0.65
3776.4544,0.213
3778.3435,0.167
3778.5088,0.2
3778.7931,0.312
3779.5701,0.267
3781.5115,0.217
3783.3429,0.677
3783.529,0.273
3785.9479,0.412
3786.1489,0.152
3786.1869,0.299
3786.3233,0.223
3786.6766,0.207
3787.2392,0.187
3787.8799,0.801
3788.6935,0.47
3789.1755,0.176
3790.0927,0.439
3793.3542,0.192
3793.4801,0.246
3794.3391,0.361
3795.002,0.81
3796.8814,0.279
3797.5144,0.713
3797.898,0.868
3798.5109,0.771
3799.5471,0.804
3801.6792,0.246
3801.9834,0.154
3805.342,0.755
3806.2165,0.193
3806.6952,0.667
3806.7143,0.228
3807.144,0.355
3807.144,0.188
3807.5367,0.46
3808.7283,0.255
3810.7555,0.19
3812.9642,0.776
3813.0577,0.284
3813.3882,0.626
3813.6345,0.154
3813.8834,0.162
3814.1238,0.538
3814.523,0.154
3814.5799,0.728
3815.3803,0.171
3815.8396,0.848
3816.3402,0.337
3817.639,0.256
3820.4249,0.863
3821.1774,0.731
3821.8343,0.269
3821.9225,0.288
3823.5096,0.182
3824.3035,0.63
3824.4432,0.812
3825.8805,0.853
3827.0852,0.441
3827.8222,0.834
3829.3549,0.839
3831.676,0.203
3832.2996,0.832
3832.3037,0.855
3832.8907,0.282
3833.3077,0.309
3834.2221,0.837
3835.384,0.868
3836.0826,0.615
3836.3302,0.399
3836.761,0.285
3838.29,0.679
3838.2918,0.866
3838.2943,0.831
3839.2558,0.565
3839.6268,0.245
3840.4372,0.822
3841.0475,0.824
3843.2564,0.607
3843.698,0.21
3845.1684,0.197
3845.1827,0.483
3845.4682,0.164
3846.024,0.275
3846.024,0.348
3846.4092,0.292
3846.7998,0.652
3848.211,0.367
3849.554,0.556
3849.9663,0.791
3850.386,0.261
3850.6905,0.282
3850.8177,0.457
3852.5724,0.349
3853.6645,0.722
3856.0175,0.823
3856.3711,0.811
3858.297,0.542
3858.297,0.275
3858.86,0.195
3859.2123,0.546
3859.911,0.848
3862.5954,0.79
3865.5229,0.773
3865.6043,0.404
3867.2157,0.5
3871.7479,0.291
3872.501,0.783
3873.7601,0.449
3878.0177,0.786
3878.306,0.703
3878.5728,0.798
3878.6707,0.388
3878.7074,0.377
3878.7259,0.405
3882.2864,0.428
3883.2798,0.319
3884.3581,0.249
3885.5101,0.323
3886.2818,0.822
3887.0477,0.753
3888.5131,0.778
3888.8214,0.257
3889.048,0.866
3890.8402,0.165
3891.906,0.276
3891.9264,0.221
3893.3898,0.426
3894.0113,0.176
3894.0767,0.166
3895.572,0.413
3895.6559,0.749
3897.8892,0.438
3898.0087,0.281
3899.1276,0.279
3899.707,0.776
3900.515,0.193
3900.539,0.859
3900.675,0.515
3902.9451,0.788
3903.2525,0.305
3903.859,0.682
3903.8977,0.295
3904.6599,0.292
3905.523,0.809
3905.6443,0.334
3906.0345,0.525
3906.4791,0.474
3906.7469,0.171
3907.9337,0.223
3913.4611,0.854
3914.318,0.204
3914.5068,0.31
3916.4045,0.243
3916.7305,0.332
3917.1805,0.231
3918.3146,0.187
3918.4151,0.242
3918.6415,0.325
3919.0651,0.177
3920.2574,0.72
3920.6272,0.196
3922.9112,0.757
3925.6434,0.236
3925.9413,0.268
3926.0128,0.188
3927.9194,0.771
3928.0829,0.193
3930.2963,0.778
3930.3058,0.331
3932.0087,0.601
3932.627,0.212
3933.655,0.903
3933.657,0.783
3933.659,0.935
3933.66,0.897
3933.661,0.922
3933.664,0.954
3935.8124,0.302
3935.9607,0.515
3938.2934,0.487
3938.4,0.328
3938.9665,0.305
3941.2753,0.157
3942.4396,0.265
3944.006,0.798
3945.2115,0.273
3946.9945,0.171
3947.295,0.237
3947.481,0.184
3947.5308,0.172
3948.0971,0.342
3948.7747,0.468
3949.9525,0.311
3950.3494,0.237
3951.1631,0.493
3951.957,0.4
3952.6009,0.236
3955.3412,0.155
3956.4548,0.479
3956.6763,0.607
3957.0178,0.333
3958.22,0.215
3960.9095,0.166
3961.52,0.814
3963.1002,0.262
3963.684,0.211
3966.0611,0.276
3966.4991,0.23
3966.6275,0.508
3967.4206,0.302
3967.961,0.2
3968.0884,0.173
3968.46,0.887
3968.462,0.67
3968.465,0.925
3968.466,0.88
3968.467,0.909
