wave,depth
3500.1543,0.623
3500.3331,0.929
3500.5647,0.893
3500.832,0.876
3500.84,0.922
3500.843,0.884
3500.847,0.958
3500.854,0.967
3500.8861,0.21
3501.5678,0.683
3501.717,0.829
3502.2802,0.961
3502.4664,0.372
3502.5869,0.529
3502.5895,0.805
3502.5908,0.584
3502.5922,0.908
3502.5948,0.933
3502.6216,0.92
3502.8537,0.155
3503.467,0.812
3503.7144,0.214
3504.216,0.614
3504.4357,0.869
3504.4499,0.786
3504.5883,0.421
3504.7303,0.222
3504.8605,0.883
3504.8908,0.944
3505.0581,0.879
3505.1326,0.358
3505.22,0.207
3505.449,0.186
3505.482,0.632
3505.512,0.215
3505.666,0.877
3505.8922,0.681
3506.048,0.292
3506.229,0.782
3506.3128,0.955
3506.4974,0.922
3506.501,0.206
3506.5801,0.818
3506.6384,0.514
3506.81,0.221
3507.1393,0.822
3507.3796,0.201
3507.3949,0.785
3507.677,0.167
3507.685,0.388
3507.688,0.732
3507.69,0.443
3507.692,0.887
3507.694,0.918
3507.7817,0.432
3508.2043,0.803
3508.4738,0.89
3508.5179,0.875
3508.6101,0.192
3508.6371,0.27
3508.7654,0.217
3509.0232,0.195
3509.1178,0.774
3509.14,0.403
3509.32,0.15
3509.7251,0.799
3509.7458,0.33
3509.7491,0.576
3509.8357,0.84
3509.841,0.942
3509.8616,0.864
3510.0572,0.338
3510.1841,0.733
3510.33,0.92
3510.333,0.948
3510.334,0.925
3510.335,0.969
3510.336,0.975
3510.419,0.924
3510.4388,0.889
3510.455,0.561
3510.534,0.452
3510.5664,0.802
3510.8399,0.94
3511.4277,0.19
3511.6166,0.607
3511.7377,0.767
3511.824,0.88
3511.8683,0.731
3511.9163,0.639
3512.219,0.152
3512.2244,0.854
3512.496,0.212
3512.631,0.355
3512.6402,0.949
3512.6771,0.521
3512.7215,0.173
3512.8027,0.741
3512.9552,0.839
3513.0428,0.225
3513.0531,0.887
3513.057,0.301
3513.3973,0.164
3513.4725,0.164
3513.4797,0.944
3513.5908,0.649
3513.647,0.164
3513.8174,0.972
3513.8358,0.189
3513.873,0.184
3513.929,0.945
3513.932,0.925
3513.933,0.742
3513.935,0.853
3513.938,0.704
3513.9866,0.877
3514.4108,0.217
3514.6272,0.85
3514.632,0.162
3514.7948,0.561
3515.051,0.948
3515.052,0.978
3515.052,0.976
3515.052,0.951
3515.052,0.964
3516.0036,0.212
3516.214,0.842
3516.4085,0.859
3516.5564,0.877
3516.944,0.385
3517.0257,0.549
3517.2994,0.91
3517.3774,0.194
3517.4856,0.263
3518.2154,0.15
3518.3478,0.934
3518.6343,0.84
3518.6826,0.848
3518.8676,0.875
3519.6,0.2
3519.746,0.84
3519.753,0.9
3519.757,0.852
3519.761,0.947
3519.768,0.96
3520.0075,0.715
3520.019,0.824
3520.0229,0.806
3520.0803,0.921
3520.252,0.903
3520.5388,0.237
3520.8219,0.491
3520.8462,0.843
3520.874,0.408
3521.2609,0.973
3521.5195,0.38
3521.5663,0.938
3521.6218,0.577
3521.7314,0.248
3521.834,0.483
3521.8368,0.907
3522.2679,0.894
3522.6223,0.228
3522.7283,0.307
3522.8434,0.404
3522.8976,0.864
3523.069,0.789
3523.073,0.616
3523.077,0.161
3523.1744,0.733
3523.3084,0.873
3523.4331,0.933
3523.4397,0.934
3523.4442,0.91
3523.4465,0.616
3523.4487,0.814
3523.4527,0.562
3523.5473,0.479
3523.7015,0.766
3523.769,0.384
3523.8563,0.156
3523.98,0.555
3524.0409,0.901
3524.0739,0.896
3524.194,0.171
3524.2393,0.92
3524.2493,0.163
3524.5193,0.449
3524.531,0.957
3524.534,0.969
3524.535,0.959
3524.536,0.977
3524.537,0.979
3524.6731,0.507
3524.716,0.841
3524.796,0.489
3524.8336,0.294
3524.913,0.155
3525.807,0.704
3525.8752,0.191
3526.0405,0.975
3526.0803,0.182
3526.1655,0.968
3526.2378,0.918
3526.3811,0.931
3526.4245,0.572
3526.467,0.933
3526.5348,0.709
3526.6745,0.928
3526.6828,0.862
3526.7255,0.719
3526.7761,0.599
3526.8495,0.955
3526.961,0.732
3527.422,0.191
3527.7925,0.924
3527.8452,0.17
3527.8906,0.826
3527.962,0.605
3527.969,0.825
3527.973,0.655
3527.976,0.913
3527.983,0.936
3528.0233,0.391
3528.2357,0.604
3528.3131,0.589
3528.8869,0.692
3528.9358,0.752
3529.0326,0.938
3529.523,0.794
3529.6184,0.255
3529.6213,0.484
3529.7333,0.228
3529.8079,0.953
3529.8195,0.925
3529.99,0.334
3530.3866,0.898
3530.5499,0.273
3530.5906,0.816
3530.772,0.891
3530.855,0.197
3530.9633,0.579
3531.4372,0.851
3531.4904,0.359
3531.71,0.859
3531.8383,0.862
3531.8498,0.694
3531.9999,0.881
3532.1111,0.882
3532.5689,0.849
3532.6859,0.179
3533.0063,0.927
3533.0808,0.506
3533.1981,0.936
3533.3584,0.929
3533.6758,0.332
3533.8542,0.767
3534.0447,0.196
3534.5247,0.775
3534.5254,0.448
3534.6773,0.761
3534.7661,0.233
3534.905,0.829
3534.9231,0.289
3534.96,0.533
3535.3178,0.638
3535.4073,0.913
3535.546,0.169
3535.625,0.43
3535.6351,0.44
3535.714,0.919
3536.02,0.619
3536.4152,0.175
3536.5559,0.944
3536.943,0.452
3537.2406,0.495
3537.4916,0.873
3537.6243,0.531
3537.6588,0.696
3537.7286,0.9
3537.8946,0.907
3538.2387,0.667
3538.2514,0.751
3538.3056,0.837
3538.52,0.606
3538.5542,0.836
3538.782,0.67
3538.9275,0.491
3539.0789,0.226
3539.4402,0.303
3539.5303,0.17
3539.9483,0.201
3540.0964,0.733
3540.1208,0.902
3540.3194,0.161
3540.3342,0.314
3540.7025,0.222
3540.7091,0.934
3540.7652,0.478
3540.7999,0.795
3541.0831,0.949
3541.8552,0.522
3542.0246,0.507
3542.0752,0.947
3542.2434,0.873
3542.2799,0.646
3542.328,0.314
3542.5596,0.544
3542.639,0.706
3543.1427,0.154
3543.2588,0.741
3543.3844,0.845
3543.6749,0.859
3544.0104,0.178
3544.2433,0.684
3544.4369,0.285
3544.4935,0.153
3544.5962,0.839
3544.6295,0.862
3545.0201,0.359
3545.0736,0.3
3545.159,0.445
3545.1622,0.673
3545.1959,0.904
3545.5044,0.541
3545.5274,0.577
3545.6397,0.921
3545.79,0.529
3545.8297,0.8
3545.9045,0.364
3546.204,0.773
3546.2769,0.349
3546.7065,0.406
3546.7832,0.517
3546.83,0.244
3547.0279,0.507
3547.1599,0.857
3547.1937,0.858
3547.222,0.801
3547.3783,0.275
3547.68,0.172
3547.7649,0.77
3547.7658,0.522
3547.7979,0.893
3547.8122,0.184
3547.8293,0.485
3547.8989,0.894
3547.9514,0.57
3548.019,0.854
3548.0202,0.886
3548.1749,0.865
3548.1818,0.858
3548.183,0.958
3548.183,0.945
3548.183,0.845
3548.183,0.895
3548.183,0.832
3548.2414,0.231
3548.4419,0.618
3548.5472,0.187
3549.0027,0.897
3549.2322,0.693
3549.2927,0.617
3549.359,0.532
3549.508,0.362
3549.8066,0.151
3549.8643,0.878
3550.117,0.354
3550.22,0.431
3550.4497,0.429
3550.5925,0.321
3550.5938,0.896
3550.6271,0.722
3551.0027,0.499
3551.109,0.682
3551.2189,0.181
3551.3915,0.484
3551.516,0.351
3551.523,0.7
3551.526,0.403
3551.529,0.878
