wave,depth
3500.1543,0.835
3500.3304,0.345
3500.3331,0.963
3500.4074,0.535
3500.5647,0.963
3500.8087,0.403
3500.832,0.982
3500.8361,0.202
3500.84,0.99
3500.843,0.984
3500.847,0.995
3500.854,0.996
3500.8861,0.339
3501.103,0.786
3501.1089,0.201
3501.343,0.902
3501.489,0.578
3501.496,0.193
3501.5678,0.767
3501.5804,0.804
3501.717,0.159
3502.1843,0.162
3502.1942,0.214
3502.269,0.82
3502.2802,0.996
3502.4664,0.628
3502.522,0.92
3502.5869,0.954
3502.5895,0.974
3502.5908,0.958
3502.5922,0.989
3502.5948,0.993
3502.6216,0.992
3502.6533,0.778
3502.7266,0.399
3502.779,0.412
3502.8537,0.375
3502.9054,0.778
3503.1585,0.152
3503.3838,0.175
3503.467,0.199
3503.6501,0.19
3503.7144,0.606
3503.724,0.466
3503.728,0.426
3503.7551,0.96
3503.7692,0.219
3504.0694,0.187
3504.216,0.681
3504.4357,0.822
3504.4499,0.909
3504.5535,0.895
3504.5883,0.417
3504.7303,0.521
3504.7679,0.908
3504.8605,0.964
3504.8908,0.94
3504.9316,0.272
3505.0129,0.383
3505.034,0.158
3505.0581,0.951
3505.1326,0.543
3505.449,0.273
3505.482,0.364
3505.512,0.379
3505.5729,0.221
3505.6371,0.173
3505.666,0.883
3505.6798,0.847
3505.682,0.181
3505.8249,0.164
3505.8922,0.374
3505.9492,0.765
3506.048,0.159
3506.229,0.905
3506.3128,0.995
3506.4974,0.977
3506.5801,0.924
3506.6384,0.987
3506.81,0.538
3506.8358,0.517
3506.9697,0.438
3507.1393,0.895
3507.1996,0.46
3507.311,0.701
3507.3796,0.533
3507.4531,0.727
3507.5207,0.287
3507.524,0.375
3507.685,0.934
3507.688,0.964
3507.69,0.941
3507.692,0.984
3507.694,0.99
3507.9409,0.269
3507.957,0.457
3508.0899,0.347
3508.113,0.241
3508.2043,0.184
3508.2963,0.777
3508.3597,0.808
3508.4738,0.956
3508.5,0.158
3508.5179,0.957
3508.6101,0.518
3508.6371,0.403
3508.7654,0.337
3508.9822,0.363
3509.0221,0.275
3509.0641,0.29
3509.1178,0.903
3509.14,0.77
3509.32,0.96
3509.4561,0.182
3509.7251,0.913
3509.7428,0.22
3509.7458,0.679
3509.7491,0.832
3509.8357,0.699
3509.841,0.993
3509.8616,0.958
3510.0572,0.596
3510.1841,0.81
3510.33,0.99
3510.333,0.994
3510.334,0.991
3510.335,0.996
3510.336,0.997
3510.4088,0.275
3510.419,0.993
3510.4388,0.963
3510.455,0.472
3510.475,0.159
3510.534,0.887
3510.5664,0.932
3510.6254,0.535
3510.6544,0.713
3510.6924,0.249
3510.8182,0.417
3510.8399,0.935
3511.0086,0.151
3511.1826,0.209
3511.226,0.181
3511.4277,0.373
3511.6166,0.561
3511.6243,0.97
3511.7377,0.913
3511.824,0.7
3511.83,0.18
3511.8683,0.683
3511.8692,0.262
3511.9163,0.573
3512.0822,0.199
3512.219,0.295
3512.2244,0.943
3512.2536,0.639
3512.3472,0.221
3512.496,0.218
3512.5902,0.667
3512.631,0.234
3512.6402,0.994
3512.6646,0.232
3512.6771,0.786
3512.7215,0.403
3512.8027,0.885
3512.8926,0.402
3512.93,0.177
3512.9552,0.929
3512.9665,0.364
3513.0531,0.975
3513.057,0.346
3513.3704,0.278
3513.3838,0.195
3513.3973,0.326
3513.472,0.777
3513.4725,0.241
3513.4797,0.995
3513.5908,0.852
3513.647,0.674
3513.658,0.313
3513.7134,0.297
3513.7846,0.156
3513.8174,0.996
3513.8358,0.327
3513.8493,0.23
3513.9008,0.249
3513.929,0.994
3513.932,0.991
3513.933,0.963
3513.9346,0.701
3513.935,0.977
3513.938,0.96
3513.947,0.769
3513.9866,0.226
3514.0548,0.192
3514.487,0.709
3514.6156,0.79
3514.6272,0.95
3514.7948,0.855
3514.8912,0.214
3515.051,0.994
3515.052,0.997
3515.052,0.997
3515.052,0.995
3515.052,0.996
3515.399,0.27
3515.7092,0.652
3515.7238,0.74
3515.8707,0.163
3516.214,0.879
3516.4085,0.941
