wave,depth
3500.1543,0.871
3500.3331,0.97
3500.5647,0.968
3500.5833,0.278
3500.832,0.974
3500.84,0.986
3500.843,0.976
3500.847,0.992
3500.854,0.993
3500.8861,0.493
3501.343,0.387
3501.5678,0.859
3501.717,0.721
3502.1843,0.221
3502.2802,0.993
3502.4664,0.741
3502.522,0.741
3502.5869,0.919
3502.5895,0.959
3502.5908,0.927
3502.5922,0.983
3502.5948,0.989
3502.6216,0.987
3502.8537,0.457
3503.467,0.742
3503.7144,0.619
3503.728,0.284
3503.7551,0.661
3504.216,0.821
3504.4357,0.916
3504.4499,0.92
3504.5535,0.463
3504.5883,0.639
3504.7303,0.584
3504.7679,0.646
3504.8605,0.967
3504.8908,0.966
3504.9316,0.282
3505.0129,0.388
3505.034,0.261
3505.0581,0.958
3505.1326,0.682
3505.22,0.228
3505.449,0.244
3505.482,0.652
3505.512,0.31
3505.666,0.939
3505.6798,0.45
3505.8922,0.667
3506.048,0.326
3506.229,0.918
3506.3128,0.992
3506.4974,0.98
3506.501,0.233
3506.5801,0.932
3506.6384,0.951
3506.81,0.362
3506.9697,0.18
3507.1393,0.922
3507.1996,0.499
3507.311,0.351
3507.3796,0.347
3507.3949,0.67
3507.5207,0.183
3507.677,0.202
3507.685,0.882
3507.688,0.942
3507.69,0.898
3507.692,0.977
3507.694,0.985
3507.7817,0.24
3508.1368,0.192
3508.2043,0.725
3508.4738,0.963
3508.5179,0.961
3508.6101,0.574
3508.6371,0.574
3508.7654,0.497
3509.0232,0.153
3509.0641,0.174
3509.1178,0.916
3509.14,0.604
3509.32,0.87
3509.7251,0.924
3509.7428,0.214
3509.7458,0.709
3509.7491,0.847
3509.8357,0.871
3509.841,0.99
3509.8616,0.96
3510.0572,0.713
3510.1841,0.878
3510.33,0.985
3510.333,0.991
3510.334,0.986
3510.335,0.993
3510.336,0.993
3510.4088,0.177
3510.419,0.988
3510.4388,0.967
3510.455,0.674
3510.475,0.254
3510.534,0.836
3510.5664,0.932
3510.8399,0.963
3511.4277,0.494
3511.6166,0.765
3511.6243,0.832
3511.7377,0.919
3511.816,0.217
3511.824,0.903
3511.83,0.265
3511.8683,0.834
3511.9163,0.778
3512.0822,0.204
3512.219,0.227
3512.2244,0.948
3512.496,0.248
3512.631,0.419
3512.6402,0.991
3512.6771,0.839
3512.7215,0.494
3512.8027,0.904
3512.9552,0.938
3513.0531,0.973
3513.057,0.421
3513.3838,0.178
3513.3973,0.441
3513.472,0.279
3513.4725,0.388
3513.4797,0.991
3513.5908,0.879
3513.647,0.432
3513.8174,0.993
3513.8358,0.454
3513.929,0.99
3513.932,0.986
3513.933,0.942
3513.935,0.967
3513.938,0.936
3513.9866,0.797
3514.4108,0.18
3514.487,0.295
3514.6272,0.952
3514.632,0.158
3514.7948,0.871
3514.8912,0.326
