wave,depth
3500.1543,0.384
3500.3331,0.902
3500.5647,0.82
3500.832,0.748
3500.84,0.839
3500.843,0.768
3500.847,0.907
3500.854,0.928
3501.5678,0.496
3501.717,0.808
3502.2802,0.913
3502.4664,0.193
3502.5869,0.208
3502.5895,0.525
3502.5908,0.245
3502.5922,0.811
3502.5948,0.857
3502.6216,0.832
3503.467,0.784
3504.216,0.42
3504.4357,0.837
3504.4499,0.635
3504.5883,0.246
3504.8605,0.802
3504.8908,0.929
3505.0581,0.806
3505.1326,0.183
3505.22,0.158
3505.482,0.567
3505.512,0.153
3505.666,0.835
3505.8922,0.637
3506.048,0.232
3506.229,0.629
3506.3128,0.901
3506.4974,0.86
3506.501,0.158
3506.5801,0.704
3506.6384,0.213
3507.1393,0.731
3507.3949,0.763
3507.688,0.402
3507.69,0.165
3507.692,0.775
3507.694,0.833
3507.7817,0.418
3508.2043,0.774
3508.4738,0.822
3508.5179,0.794
3509.0232,0.171
3509.1178,0.611
3509.14,0.287
3509.7251,0.665
3509.7491,0.314
3509.8357,0.813
3509.841,0.877
3509.8616,0.772
3510.0572,0.171
3510.1841,0.574
3510.33,0.836
3510.333,0.888
3510.334,0.845
3510.335,0.934
3510.336,0.947
3510.419,0.838
3510.4388,0.814
3510.455,0.459
3510.534,0.262
3510.5664,0.652
3510.8399,0.924
3511.6166,0.418
3511.7377,0.582
3511.824,0.86
3511.8683,0.59
3511.9163,0.461
3512.2244,0.767
3512.496,0.161
3512.631,0.279
3512.6402,0.89
3512.6771,0.288
3512.8027,0.548
3512.9552,0.747
3513.0428,0.239
3513.0531,0.797
3513.057,0.218
3513.4797,0.875
3513.5908,0.41
3513.8174,0.941
3513.873,0.162
3513.929,0.88
3513.932,0.844
3513.933,0.421
3513.935,0.686
3513.938,0.365
3513.9866,0.864
3514.4108,0.187
3514.6272,0.752
3514.7948,0.306
3515.051,0.885
3515.052,0.958
3515.052,0.951
3515.052,0.892
3515.052,0.921
3516.0036,0.163
3516.214,0.766
3516.4085,0.776
3516.5564,0.8
3517.0257,0.363
3517.2994,0.884
3517.4856,0.239
3518.3478,0.868
3518.6343,0.763
3518.6826,0.758
3518.8676,0.789
3519.746,0.651
3519.753,0.802
3519.757,0.688
3519.761,0.886
3519.768,0.912
3520.0075,0.555
3520.019,0.784
3520.0229,0.695
3520.0803,0.832
3520.252,0.883
3520.5388,0.207
3520.8219,0.29
3520.8462,0.744
3520.874,0.315
3521.2609,0.944
3521.5195,0.209
3521.5663,0.867
3521.6218,0.536
3521.834,0.439
3521.8368,0.836
3522.2679,0.825
3522.8434,0.216
3522.8976,0.782
3523.069,0.522
3523.073,0.286
3523.1744,0.554
3523.3084,0.795
3523.4331,0.861
3523.4397,0.859
3523.4442,0.815
3523.4465,0.27
3523.4487,0.554
3523.4527,0.229
3523.5473,0.464
3523.7015,0.547
3523.769,0.223
3523.98,0.442
3524.0409,0.833
3524.0739,0.824
3524.2393,0.857
3524.5193,0.228
3524.531,0.903
3524.534,0.933
3524.535,0.909
3524.536,0.956
3524.537,0.961
3524.6731,0.251
3524.716,0.803
3524.796,0.31
3524.8336,0.28
3525.807,0.609
3526.0405,0.947
3526.1655,0.933
3526.2378,0.859
3526.3811,0.878
3526.4245,0.582
3526.467,0.876
3526.5348,0.553
3526.6745,0.875
3526.6828,0.781
3526.7255,0.548
3526.7761,0.359
3526.8495,0.898
3526.961,0.571
3527.422,0.156
3527.7925,0.867
3527.8906,0.718
3527.962,0.267
3527.969,0.599
3527.973,0.312
3527.976,0.823
3527.983,0.864
3528.0233,0.228
3528.2357,0.346
3528.3131,0.293
3528.8869,0.528
3528.9358,0.451
3529.0326,0.864
3529.523,0.665
3529.6213,0.24
3529.8079,0.897
3529.8195,0.87
3529.99,0.267
3530.3866,0.83
3530.5906,0.727
3530.772,0.862
3530.855,0.161
3530.9633,0.324
3531.4372,0.755
3531.4904,0.287
3531.71,0.808
3531.8383,0.776
3531.8498,0.492
3531.9999,0.804
3532.1111,0.805
3532.5689,0.767
3532.6859,0.182
3533.0063,0.872
3533.0808,0.258
3533.1981,0.886
3533.3584,0.849
3533.8542,0.736
3534.5247,0.646
3534.5254,0.255
3534.6773,0.55
3534.905,0.682
3534.96,0.403
3535.3178,0.452
3535.4073,0.895
3535.625,0.441
3535.6351,0.263
3535.714,0.89
3536.02,0.507
3536.5559,0.899
3536.943,0.347
3537.2406,0.312
3537.4916,0.792
3537.6243,0.338
3537.6588,0.477
3537.7286,0.831
3537.8946,0.843
3538.2387,0.594
3538.2514,0.568
3538.3056,0.752
3538.52,0.473
3538.5542,0.73
3538.782,0.476
3538.9275,0.301
3539.0789,0.15
3539.4402,0.151
3540.0964,0.593
3540.1208,0.837
3540.3342,0.177
3540.7091,0.864
3540.7652,0.243
3540.7999,0.642
3541.0831,0.907
3541.8552,0.328
3542.0246,0.319
3542.0752,0.903
3542.2434,0.787
3542.2799,0.41
3542.328,0.235
3542.5596,0.308
3542.639,0.658
3543.2588,0.502
3543.3844,0.746
3543.6749,0.783
3544.2433,0.519
3544.4369,0.157
3544.5962,0.739
3544.6295,0.775
3545.0201,0.333
3545.0736,0.159
3545.159,0.214
3545.1622,0.419
3545.1959,0.878
3545.5044,0.322
3545.5274,0.382
3545.6397,0.864
3545.79,0.41
3545.8297,0.678
3545.9045,0.197
3546.204,0.592
3546.2769,0.193
3546.7065,0.176
3546.7832,0.259
3546.83,0.162
3547.0279,0.257
3547.1599,0.778
3547.1937,0.78
3547.222,0.671
3547.7649,0.638
3547.7658,0.327
3547.7979,0.821
3547.8293,0.286
3547.8989,0.825
3547.9514,0.37
3548.019,0.77
3548.0202,0.811
3548.1749,0.729
3548.1818,0.77
3548.183,0.908
3548.183,0.881
3548.183,0.668
3548.183,0.793
3548.183,0.627
3548.4419,0.334
3549.0027,0.86
3549.2322,0.521
3549.2927,0.424
3549.359,0.416
3549.508,0.293
3549.8643,0.784
3550.117,0.201
3550.22,0.326
3550.4497,0.248
3550.5925,0.174
3550.5938,0.788
3550.6271,0.57
3551.0027,0.309
3551.109,0.457
3551.3915,0.298
3551.523,0.36
3551.529,0.756
