wave,depth
3500.3331,0.729
3500.5647,0.397
3500.84,0.224
3500.847,0.559
3500.854,0.65
3501.717,0.618
3502.2802,0.595
3502.5948,0.28
3502.6216,0.188
3503.467,0.548
3504.4357,0.615
3504.8605,0.299
3504.8908,0.839
3505.0581,0.388
3505.482,0.243
3505.666,0.539
3505.8922,0.34
3506.3128,0.55
3506.4974,0.521
3507.1393,0.229
3507.3949,0.547
3507.694,0.207
3507.7817,0.216
3508.2043,0.529
3508.4738,0.441
3508.5179,0.3
3509.8357,0.612
3509.841,0.437
3509.8616,0.205
3510.33,0.223
3510.333,0.472
3510.334,0.259
3510.335,0.679
3510.336,0.74
3510.419,0.203
3510.4388,0.368
3510.8399,0.83
3511.824,0.716
3512.2244,0.247
3512.6402,0.506
3512.9552,0.217
3513.0428,0.163
3513.0531,0.217
3513.4797,0.373
3513.8174,0.733
3513.929,0.434
3513.932,0.256
3513.9866,0.739
3514.6272,0.18
3515.051,0.451
3515.052,0.803
3515.052,0.757
3515.052,0.485
3515.052,0.621
3516.214,0.321
3516.4085,0.291
3516.5564,0.357
3517.2994,0.724
3518.3478,0.447
3518.6343,0.313
3518.6826,0.229
3518.8676,0.253
3519.761,0.474
3519.768,0.593
3520.019,0.493
3520.0229,0.153
3520.0803,0.188
3520.252,0.754
3520.8462,0.181
3521.2609,0.748
3521.5663,0.375
3521.6218,0.257
3521.834,0.198
3521.8368,0.432
3522.2679,0.443
3522.8976,0.296
3523.3084,0.341
3523.4331,0.369
3523.4397,0.304
3523.4442,0.152
3523.5473,0.244
3524.0409,0.451
3524.0739,0.42
3524.2393,0.514
3524.531,0.537
3524.534,0.668
3524.535,0.562
3524.536,0.786
3524.537,0.825
3524.716,0.539
3525.807,0.206
3526.0405,0.731
3526.1655,0.704
3526.2378,0.554
3526.3811,0.608
3526.4245,0.392
3526.467,0.575
3526.6745,0.599
3526.6828,0.31
3526.8495,0.491
3527.7925,0.578
3527.8906,0.153
3527.976,0.184
3527.983,0.349
3529.0326,0.328
3529.8079,0.537
3529.8195,0.587
3530.3866,0.46
3530.5906,0.231
3530.772,0.674
3531.4372,0.191
3531.71,0.386
3531.8383,0.266
3531.9999,0.359
3532.1111,0.366
3532.5689,0.292
3533.0063,0.594
3533.1981,0.631
3533.3584,0.264
3533.8542,0.484
3535.4073,0.777
3535.625,0.287
3535.714,0.707
3536.5559,0.666
3537.4916,0.306
3537.7286,0.451
3537.8946,0.507
3538.2387,0.242
3538.3056,0.277
3538.5542,0.155
3540.1208,0.491
3540.7091,0.429
3541.0831,0.688
3542.0752,0.679
3542.2434,0.263
3542.639,0.342
3543.3844,0.177
3543.6749,0.358
3544.5962,0.178
3544.6295,0.258
3545.1959,0.71
3545.6397,0.57
3547.1599,0.334
3547.1937,0.339
3547.7979,0.428
3547.8989,0.455
3548.019,0.282
3548.0202,0.394
3548.1818,0.257
3548.183,0.576
3548.183,0.449
3549.0027,0.615
3549.8643,0.197
3551.534,0.183
3551.951,0.565
3552.1054,0.225
3552.828,0.489
3552.8298,0.229
3552.8547,0.18
3553.7381,0.595
3554.1178,0.512
3554.5013,0.409
3554.9241,0.724
3556.594,0.606
3556.6804,0.279
3556.7999,0.747
3556.8777,0.642
3558.5148,0.776
3558.532,0.767
3558.6204,0.152
3559.449,0.18
3559.5032,0.377
3560.5897,0.353
3560.6968,0.333
3560.8926,0.23
3561.105,0.291
3561.5755,0.632
3561.7489,0.201
3561.7515,0.373
3561.893,0.347
3561.8936,0.474
3564.5356,0.485
3564.9511,0.171
3565.2936,0.504
3565.3787,0.823
3565.5736,0.251
3565.5815,0.554
3565.9669,0.625
3565.967,0.549
3566.0604,0.189
3566.1049,0.187
3566.1521,0.364
3566.1777,0.505
3566.3083,0.292
3566.371,0.316
3566.372,0.759
3566.372,0.703
3566.372,0.355
3566.372,0.536
3567.0311,0.434
3567.696,0.752
3568.4324,0.223
3568.8227,0.337
3568.974,0.433
3569.376,0.558
3569.4949,0.507
3569.808,0.348
3570.0097,0.375
3570.0974,0.845
3570.254,0.755
3571.2236,0.206
3571.852,0.26
3571.86,0.572
3571.867,0.656
3571.9949,0.612
3572.468,0.693
3572.526,0.843
3572.5903,0.334
3573.0518,0.219
3573.055,0.185
3573.3936,0.354
3573.5692,0.157
3573.7315,0.738
3573.8288,0.464
3573.8885,0.561
3574.3393,0.218
3574.3485,0.155
3574.9645,0.239
3575.113,0.402
3575.245,0.462
3575.359,0.368
3575.3695,0.519
3575.9762,0.388
3576.34,0.817
3576.758,0.389
3576.7644,0.67
3576.853,0.555
3577.868,0.367
3577.9989,0.212
3578.3822,0.283
3578.6721,0.279
3578.704,0.753
3580.925,0.799
3581.1927,0.861
3581.6465,0.374
3581.8069,0.332
3582.1994,0.531
3582.3183,0.248
3583.3245,0.418
3583.33,0.344
3583.6824,0.233
3584.1512,0.156
3584.3368,0.245
3584.5155,0.573
3584.6591,0.639
3584.7858,0.473
3584.9574,0.597
3585.1587,0.188
3585.1897,0.276
3585.287,0.793
3585.3186,0.755
3585.492,0.694
3585.5688,0.225
3585.7051,0.711
3586.0044,0.458
3586.1033,0.598
3586.1126,0.619
3586.538,0.267
3586.7384,0.418
3586.9843,0.752
3587.1309,0.712
3587.1859,0.479
3587.2388,0.459
3587.423,0.381
3587.7521,0.559
3587.9273,0.343
3587.9322,0.18
3587.974,0.279
3588.5264,0.393
3588.6088,0.535
3588.9172,0.445
3589.1046,0.551
3589.4516,0.495
3589.632,0.729
3589.7591,0.701
3590.474,0.73
3591.3984,0.379
3592.0216,0.706
3592.6736,0.167
3593.0756,0.4
3593.3227,0.162
3593.333,0.648
3593.502,0.737
3594.632,0.597
3594.8716,0.281
3595.3014,0.378
3596.0465,0.798
3596.196,0.16
3596.5009,0.193
3597.0207,0.303
3597.0521,0.22
3597.701,0.267
3597.703,0.572
3597.704,0.655
3598.7173,0.167
3599.6248,0.436
3600.7324,0.726
3601.9155,0.64
3602.0816,0.209
3602.0828,0.21
3602.276,0.199
3602.28,0.368
3602.462,0.46
3602.5254,0.506
3603.203,0.619
3603.6147,0.624
3603.7727,0.72
3603.8175,0.357
3603.8274,0.526
3604.3717,0.23
3604.471,0.236
3604.6971,0.156
3605.2007,0.389
3605.344,0.716
3605.4524,0.641
3605.5003,0.586
3606.5334,0.191
3606.5992,0.236
3606.679,0.704
3606.7815,0.163
3607.527,0.196
3608.1415,0.457
3608.4836,0.188
3608.8091,0.493
3608.8589,0.816
3609.3113,0.417
3609.3161,0.245
3610.1589,0.669
3610.2785,0.194
3610.3388,0.161
3610.46,0.282
3610.462,0.58
3610.463,0.66
3610.6946,0.333
3611.0429,0.7
3611.4822,0.37
3611.889,0.344
3612.0683,0.541
3612.736,0.467
3612.743,0.581
3612.9394,0.195
3613.098,0.483
3613.1237,0.352
3613.1448,0.231
3613.1787,0.597
