wave,depth
3500.1543,0.846
3500.3331,0.965
3500.5647,0.963
3500.5833,0.262
3500.832,0.968
3500.84,0.982
3500.843,0.971
3500.847,0.989
3500.854,0.991
3500.8861,0.44
3501.343,0.196
3501.5678,0.841
3501.717,0.785
3502.1843,0.184
3502.2802,0.99
3502.4664,0.688
3502.522,0.563
3502.5869,0.888
3502.5895,0.946
3502.5908,0.902
3502.5922,0.979
3502.5948,0.985
3502.6216,0.984
3502.8537,0.392
3503.467,0.791
3503.7144,0.545
3503.728,0.194
3503.7551,0.394
3504.216,0.801
3504.4357,0.906
3504.4499,0.903
3504.5535,0.285
3504.5883,0.627
3504.7303,0.521
3504.7679,0.462
3504.8605,0.961
3504.8908,0.964
3504.9316,0.223
3505.0129,0.334
3505.034,0.226
3505.0581,0.952
3505.1326,0.643
3505.22,0.234
3505.449,0.232
3505.482,0.655
3505.512,0.286
3505.666,0.929
3505.6798,0.288
3505.8922,0.68
3506.048,0.326
3506.229,0.901
3506.3128,0.989
3506.4974,0.978
3506.501,0.232
3506.5801,0.918
3506.6384,0.914
3506.81,0.323
3507.1393,0.909
3507.1996,0.419
3507.311,0.227
3507.3796,0.304
3507.3949,0.737
3507.677,0.198
3507.685,0.828
3507.688,0.926
3507.69,0.854
3507.692,0.972
3507.694,0.981
3507.7817,0.31
3508.1368,0.166
3508.2043,0.778
3508.4738,0.959
3508.5179,0.954
3508.6101,0.493
3508.6371,0.525
3508.7654,0.446
3509.0232,0.171
3509.1178,0.898
3509.14,0.549
3509.32,0.684
3509.7251,0.908
3509.7428,0.179
3509.7458,0.656
3509.7491,0.822
3509.8357,0.865
3509.841,0.987
3509.8616,0.952
3510.0572,0.656
3510.1841,0.862
3510.33,0.981
3510.333,0.987
3510.334,0.983
3510.335,0.991
3510.336,0.991
3510.419,0.985
3510.4388,0.962
3510.455,0.649
3510.475,0.218
3510.534,0.767
3510.5664,0.917
3510.8399,0.961
3511.4277,0.433
3511.6166,0.758
3511.6243,0.604
3511.7377,0.901
3511.816,0.182
3511.824,0.899
3511.83,0.224
3511.8683,0.829
3511.9163,0.773
3512.0822,0.159
3512.219,0.207
3512.2244,0.94
3512.496,0.243
3512.631,0.411
3512.6402,0.988
3512.6771,0.806
3512.7215,0.426
3512.8027,0.884
3512.9552,0.928
3513.0428,0.15
3513.0531,0.969
3513.057,0.394
3513.3973,0.385
3513.472,0.167
3513.4725,0.347
3513.4797,0.988
3513.5908,0.855
3513.647,0.37
3513.8174,0.991
3513.8358,0.411
3513.873,0.161
3513.929,0.987
3513.932,0.983
3513.933,0.927
3513.935,0.958
3513.938,0.919
3513.9866,0.845
3514.4108,0.198
3514.487,0.173
3514.6272,0.943
3514.632,0.165
3514.7948,0.84
3514.8912,0.282
3515.051,0.988
3515.052,0.991
3515.052,0.991
3515.052,0.988
3515.052,0.99
3515.399,0.2
3516.0036,0.24
3516.214,0.908
3516.4085,0.941
3516.4343,0.213
3516.5564,0.952
3516.6728,0.212
3516.832,0.469
3516.944,0.827
3516.9838,0.196
3517.0257,0.715
3517.262,0.156
3517.2994,0.942
3517.3774,0.249
3517.4441,0.155
3517.4856,0.188
3518.2896,0.186
3518.3029,0.275
3518.3478,0.984
3518.6343,0.906
3518.6826,0.936
3518.8676,0.958
3519.228,0.21
3519.6,0.774
3519.7123,0.325
3519.746,0.952
3519.753,0.975
3519.757,0.957
3519.761,0.987
3519.768,0.989
3519.9335,0.421
3520.0075,0.847
3520.019,0.865
3520.0229,0.906
3520.0803,0.984
3520.2252,0.327
3520.252,0.926
3520.3373,0.239
3520.5388,0.218
3520.8219,0.75
3520.8462,0.937
3520.874,0.496
3521.2609,0.991
3521.4131,0.27
3521.5195,0.666
3521.5663,0.986
3521.6218,0.498
3521.7314,0.721
3521.7432,0.159
3521.834,0.458
3521.8368,0.972
3521.876,0.177
3522.2679,0.962
3522.6223,0.398
3522.7283,0.638
3522.8434,0.677
3522.8976,0.945
3523.069,0.934
3523.073,0.892
3523.075,0.239
3523.077,0.539
3523.081,0.201
3523.1744,0.871
3523.3084,0.95
3523.4331,0.985
3523.4397,0.985
3523.4442,0.98
3523.4465,0.906
3523.4487,0.948
3523.4527,0.894
3523.5473,0.35
3523.7015,0.904
3523.769,0.582
3523.8563,0.447
3523.98,0.659
3524.0409,0.968
3524.0739,0.965
3524.194,0.257
3524.2393,0.977
3524.2493,0.411
3524.5193,0.773
3524.531,0.989
3524.534,0.991
3524.535,0.989
3524.536,0.991
3524.537,0.991
3524.6731,0.831
3524.716,0.88
3524.7166,0.339
3524.796,0.67
3524.8336,0.242
3524.913,0.232
3525.1115,0.176
3525.1151,0.376
3525.1566,0.406
3525.807,0.787
3525.8752,0.526
3526.0405,0.991
3526.0803,0.413
3526.1655,0.99
3526.2378,0.973
3526.3811,0.978
3526.4245,0.396
3526.467,0.981
3526.5348,0.817
3526.6745,0.977
3526.6828,0.943
3526.7255,0.856
3526.7761,0.837
3526.8495,0.989
3526.961,0.861
3527.0562,0.349
3527.422,0.194
3527.7925,0.976
3527.8452,0.268
3527.8906,0.924
3527.9445,0.363
3527.962,0.898
3527.969,0.949
3527.973,0.909
3527.976,0.98
3527.983,0.985
3528.0135,0.251
3528.0233,0.589
3528.025,0.553
3528.2357,0.852
3528.3131,0.879
3528.602,0.154
3528.8869,0.807
3528.9358,0.933
3529.0326,0.986
3529.0513,0.263
3529.523,0.903
3529.6184,0.563
3529.6213,0.774
3529.7333,0.708
3529.7707,0.177
3529.8079,0.988
3529.8195,0.976
3529.99,0.372
3530.3804,0.173
3530.3866,0.964
3530.5499,0.606
3530.575,0.381
3530.5906,0.889
3530.772,0.927
3530.844,0.157
3530.855,0.2
3530.9633,0.843
3531.4372,0.943
3531.4904,0.399
3531.5075,0.177
3531.71,0.92
3531.8383,0.954
3531.8498,0.856
3531.9999,0.963
3532.1111,0.964
3532.5689,0.932
3533.0063,0.977
3533.0808,0.8
3533.1272,0.324
3533.1981,0.98
3533.22,0.333
3533.3584,0.985
3533.6758,0.8
3533.7542,0.449
3533.8542,0.774
