wave,depth
3500.1543,0.798
3500.3331,0.954
3500.5647,0.947
3500.5833,0.225
3500.832,0.95
3500.84,0.974
3500.843,0.955
3500.847,0.986
3500.854,0.988
3500.8861,0.361
3501.5678,0.805
3501.717,0.817
3502.2802,0.987
3502.4664,0.598
3502.522,0.361
3502.5869,0.824
3502.5895,0.917
3502.5908,0.849
3502.5922,0.968
3502.5948,0.979
3502.6216,0.975
3502.8537,0.3
3503.467,0.811
3503.7144,0.433
3503.7551,0.203
3504.216,0.759
3504.4357,0.893
3504.4499,0.875
3504.5535,0.165
3504.5883,0.581
3504.7303,0.422
3504.7679,0.305
3504.8605,0.943
3504.8908,0.958
3504.9316,0.157
3505.0129,0.256
3505.034,0.18
3505.0581,0.934
3505.1326,0.566
3505.22,0.229
3505.449,0.217
3505.482,0.652
3505.512,0.258
3505.666,0.91
3505.6798,0.173
3505.8922,0.686
3506.048,0.318
3506.229,0.872
3506.3128,0.986
3506.4974,0.968
3506.501,0.225
3506.5801,0.893
3506.6384,0.833
3506.81,0.284
3507.1393,0.888
3507.1996,0.314
3507.3796,0.263
3507.3949,0.771
3507.677,0.189
3507.685,0.726
3507.688,0.89
3507.69,0.769
3507.692,0.956
3507.694,0.972
3507.7817,0.368
3508.2043,0.801
3508.4738,0.942
3508.5179,0.935
3508.6101,0.383
3508.6371,0.44
3508.7654,0.367
3509.0232,0.184
3509.1178,0.869
3509.14,0.497
3509.32,0.445
3509.7251,0.881
3509.7458,0.568
3509.7491,0.773
3509.8357,0.857
3509.841,0.982
3509.8616,0.931
3510.0572,0.56
3510.1841,0.831
3510.33,0.972
3510.333,0.984
3510.334,0.975
3510.335,0.988
3510.336,0.989
3510.419,0.977
3510.4388,0.945
3510.455,0.623
3510.475,0.172
3510.534,0.67
3510.5664,0.889
3510.8399,0.954
3511.4277,0.347
3511.6166,0.731
3511.6243,0.361
3511.7377,0.87
3511.824,0.894
3511.83,0.178
3511.8683,0.809
3511.9163,0.749
3512.219,0.187
3512.2244,0.918
3512.496,0.234
3512.631,0.393
3512.6402,0.984
3512.6771,0.741
3512.7215,0.333
3512.8027,0.851
3512.9552,0.905
3513.0428,0.18
3513.0531,0.952
3513.057,0.361
3513.3973,0.304
3513.4725,0.281
3513.4797,0.984
3513.5908,0.811
3513.647,0.299
3513.8174,0.988
3513.8358,0.339
3513.873,0.174
3513.929,0.982
3513.932,0.975
3513.933,0.892
3513.935,0.936
3513.938,0.88
3513.9866,0.868
3514.4108,0.209
3514.6272,0.919
3514.632,0.167
3514.7948,0.78
3514.8912,0.22
3515.051,0.984
3515.052,0.989
3515.052,0.989
3515.052,0.984
3515.052,0.987
3516.0036,0.234
3516.214,0.894
3516.4085,0.919
3516.4343,0.166
3516.5564,0.933
3516.832,0.311
3516.944,0.722
3516.9838,0.152
3517.0257,0.684
3517.262,0.151
3517.2994,0.931
3517.3774,0.229
3517.4856,0.226
3518.3029,0.216
3518.3478,0.977
3518.6343,0.892
3518.6826,0.913
3518.8676,0.938
3519.6,0.548
3519.7123,0.256
3519.746,0.928
3519.753,0.962
3519.757,0.935
3519.761,0.983
3519.768,0.986
3519.9335,0.22
3520.0075,0.815
3520.019,0.851
3520.0229,0.881
3520.0803,0.976
3520.2252,0.258
3520.252,0.918
3520.3373,0.18
3520.5388,0.23
3520.8219,0.686
3520.8462,0.912
3520.874,0.467
3521.2609,0.988
3521.4131,0.21
3521.5195,0.584
3521.5663,0.981
3521.6218,0.546
3521.7314,0.574
3521.834,0.473
3521.8368,0.959
3521.876,0.159
3522.2679,0.946
3522.6223,0.352
3522.7283,0.534
3522.8434,0.609
3522.8976,0.924
3523.069,0.903
3523.073,0.845
3523.075,0.158
3523.077,0.403
3523.1744,0.839
3523.3084,0.931
3523.4331,0.979
3523.4397,0.979
3523.4442,0.969
3523.4465,0.858
3523.4487,0.92
3523.4527,0.836
3523.5473,0.413
3523.7015,0.874
3523.769,0.535
3523.8563,0.318
3523.98,0.627
3524.0409,0.953
3524.0739,0.949
3524.194,0.224
3524.2393,0.967
3524.2493,0.318
3524.5193,0.692
3524.531,0.986
3524.534,0.988
3524.535,0.986
3524.536,0.989
3524.537,0.989
3524.6731,0.76
3524.716,0.867
3524.7166,0.246
3524.796,0.634
3524.8336,0.266
3524.913,0.201
3525.1151,0.293
3525.1566,0.258
3525.807,0.761
3525.8752,0.41
3526.0405,0.988
3526.0803,0.331
3526.1655,0.988
3526.2378,0.962
3526.3811,0.97
3526.4245,0.476
3526.467,0.974
3526.5348,0.797
3526.6745,0.969
3526.6828,0.922
3526.7255,0.824
3526.7761,0.786
3526.8495,0.986
3526.961,0.83
3527.0562,0.258
3527.422,0.197
3527.7925,0.966
3527.8452,0.228
3527.8906,0.9
3527.9445,0.277
3527.962,0.849
3527.969,0.923
3527.973,0.866
3527.976,0.969
3527.983,0.98
3528.0135,0.176
3528.0233,0.542
3528.025,0.361
3528.2357,0.8
3528.3131,0.823
3528.8869,0.785
3528.9358,0.895
3529.0326,0.981
3529.0513,0.195
3529.523,0.876
3529.6184,0.468
3529.6213,0.712
3529.7333,0.522
3529.8079,0.985
3529.8195,0.967
3529.99,0.362
3530.3866,0.949
3530.5499,0.503
3530.575,0.196
3530.5906,0.873
3530.772,0.914
3530.855,0.203
3530.9633,0.787
3531.4372,0.92
3531.4904,0.389
3531.5075,0.153
3531.71,0.898
3531.8383,0.929
3531.8498,0.819
3531.9999,0.942
3532.1111,0.943
3532.5689,0.911
3533.0063,0.968
3533.0808,0.737
3533.1272,0.226
3533.1981,0.973
3533.22,0.171
3533.3584,0.979
3533.6758,0.65
3533.7542,0.275
3533.8542,0.775
3534.0447,0.247
3534.5247,0.856
3534.5254,0.647
3534.6773,0.872
3534.7661,0.452
3534.905,0.916
