wave,depth
3500.1543,0.752
3500.3304,0.244
3500.3331,0.94
3500.4074,0.469
3500.5647,0.955
3500.8087,0.292
3500.832,0.974
3500.8361,0.168
3500.84,0.985
3500.843,0.976
3500.847,0.993
3500.854,0.994
3500.8861,0.219
3501.103,0.745
3501.1089,0.167
3501.343,0.825
3501.489,0.414
3501.5678,0.671
3501.5804,0.744
3502.269,0.765
3502.2802,0.993
3502.4664,0.492
3502.522,0.873
3502.5869,0.939
3502.5895,0.965
3502.5908,0.945
3502.5922,0.983
3502.5948,0.989
3502.6216,0.987
3502.6533,0.713
3502.7266,0.341
3502.779,0.347
3502.8537,0.247
3502.9054,0.712
3503.7144,0.456
3503.724,0.404
3503.728,0.293
3503.7551,0.949
3504.216,0.56
3504.4357,0.681
3504.4499,0.877
3504.5535,0.843
3504.5883,0.281
3504.7303,0.373
3504.7679,0.872
3504.8605,0.956
3504.8908,0.907
3504.9316,0.169
3505.0129,0.252
3505.0581,0.941
3505.1326,0.398
3505.449,0.161
3505.482,0.194
3505.512,0.228
3505.5729,0.161
3505.666,0.764
3505.6798,0.76
3505.8922,0.209
3505.9492,0.699
3506.229,0.87
3506.3128,0.992
3506.4974,0.97
3506.5801,0.901
3506.6384,0.981
3506.81,0.363
3506.8358,0.39
3506.9697,0.318
3507.1393,0.857
3507.1996,0.319
3507.311,0.541
3507.3796,0.348
3507.4531,0.66
3507.5207,0.184
3507.524,0.322
3507.685,0.905
3507.688,0.953
3507.69,0.917
3507.692,0.977
3507.694,0.984
3507.9409,0.165
3507.957,0.325
3508.0899,0.297
3508.113,0.155
3508.2963,0.711
3508.3597,0.749
3508.4738,0.948
3508.5179,0.948
3508.6101,0.373
3508.6371,0.272
3508.7654,0.218
3508.9822,0.311
3509.0221,0.232
3509.0641,0.187
3509.1178,0.867
3509.14,0.587
3509.32,0.942
3509.4561,0.15
3509.7251,0.884
3509.7458,0.533
3509.7491,0.736
3509.8357,0.527
3509.841,0.989
3509.8616,0.949
3510.0572,0.458
3510.1841,0.727
3510.33,0.984
3510.333,0.991
3510.334,0.985
3510.335,0.994
3510.336,0.995
3510.4088,0.188
3510.419,0.988
3510.4388,0.955
3510.455,0.264
3510.534,0.842
3510.5664,0.912
3510.6254,0.469
3510.6544,0.645
3510.6924,0.209
3510.8182,0.307
3510.8399,0.896
3511.4277,0.246
3511.6166,0.421
3511.6243,0.961
3511.7377,0.884
3511.824,0.538
3511.8683,0.561
3511.8692,0.221
3511.9163,0.435
3512.219,0.17
3512.2244,0.93
3512.2536,0.567
3512.3472,0.185
3512.5902,0.596
3512.6402,0.99
3512.6646,0.156
3512.6771,0.685
3512.7215,0.271
3512.8027,0.837
3512.8926,0.286
3512.9552,0.91
3512.9665,0.311
3513.0531,0.967
3513.057,0.181
3513.3704,0.193
3513.3973,0.209
3513.472,0.665
3513.4797,0.992
3513.5908,0.779
3513.647,0.507
3513.658,0.259
3513.7134,0.253
3513.8174,0.994
3513.8358,0.208
3513.8493,0.155
3513.9008,0.168
3513.929,0.99
3513.932,0.985
3513.933,0.953
3513.9346,0.631
3513.935,0.969
3513.938,0.949
3513.947,0.701
3514.0548,0.159
3514.487,0.551
3514.6156,0.726
3514.6272,0.94
3514.7948,0.781
3515.051,0.991
3515.052,0.995
3515.052,0.995
3515.052,0.992
3515.052,0.994
3515.399,0.168
3515.7092,0.582
3515.7238,0.671
3516.214,0.831
3516.4085,0.928
3516.5564,0.943
3516.6728,0.193
3516.832,0.874
3516.944,0.882
3517.0257,0.35
3517.1913,0.233
3517.2994,0.827
3517.3774,0.222
3517.4441,0.281
3517.6627,0.694
3518.0821,0.528
3518.2896,0.195
3518.3478,0.983
3518.5816,0.366
3518.6343,0.826
3518.6826,0.925
3518.8676,0.954
3519.0739,0.154
3519.1561,0.304
3519.228,0.844
3519.5847,0.212
3519.6,0.952
3519.634,0.314
3519.6554,0.176
3519.7123,0.153
3519.746,0.965
3519.753,0.979
3519.757,0.967
3519.761,0.99
3519.768,0.993
3519.7851,0.706
3519.8457,0.683
3519.9335,0.949
3520.0075,0.668
3520.019,0.535
3520.0229,0.865
3520.0803,0.988
3520.1589,0.447
3520.2252,0.151
3520.252,0.762
3520.3373,0.176
3520.52,0.183
3520.8219,0.517
3520.8462,0.93
3520.874,0.171
3521.046,0.698
3521.129,0.515
3521.2609,0.994
3521.5195,0.416
3521.5261,0.21
3521.5663,0.989
3521.7314,0.835
3521.8368,0.965
3521.876,0.19
3522.1145,0.708
3522.2679,0.952
3522.56,0.202
3522.7283,0.47
3522.8434,0.418
3522.8976,0.935
3523.029,0.392
3523.069,0.953
3523.073,0.929
3523.075,0.382
3523.077,0.694
3523.081,0.331
3523.1744,0.783
3523.272,0.161
3523.3084,0.941
3523.3594,0.159
3523.3661,0.46
3523.4331,0.986
