wave,depth
3500.1543,0.502
3500.3331,0.916
3500.5647,0.859
3500.832,0.822
3500.84,0.884
3500.843,0.834
3500.847,0.936
3500.854,0.951
3500.8861,0.154
3501.5678,0.595
3501.717,0.822
3502.2802,0.94
3502.4664,0.272
3502.5869,0.346
3502.5895,0.69
3502.5908,0.399
3502.5922,0.864
3502.5948,0.899
3502.6216,0.88
3503.467,0.802
3504.216,0.519
3504.4357,0.855
3504.4499,0.721
3504.5883,0.328
3504.8605,0.845
3504.8908,0.937
3505.0581,0.845
3505.1326,0.262
3505.22,0.187
3505.449,0.165
3505.482,0.607
3505.512,0.188
3505.666,0.858
3505.8922,0.666
3506.048,0.266
3506.229,0.716
3506.3128,0.932
3506.4974,0.893
3506.501,0.186
3506.5801,0.768
3506.6384,0.341
3506.81,0.187
3507.1393,0.781
3507.3796,0.169
3507.3949,0.778
3507.685,0.24
3507.688,0.575
3507.69,0.281
3507.692,0.838
3507.694,0.879
3507.7817,0.433
3508.2043,0.792
3508.4738,0.858
3508.5179,0.837
3508.6371,0.198
3508.7654,0.158
3509.0232,0.188
3509.1178,0.704
3509.14,0.348
3509.7251,0.741
3509.7458,0.227
3509.7491,0.442
3509.8357,0.829
3509.841,0.913
3509.8616,0.822
3510.0572,0.247
3510.1841,0.662
3510.33,0.882
3510.333,0.921
3510.334,0.889
3510.335,0.955
3510.336,0.963
3510.419,0.885
3510.4388,0.854
3510.455,0.517
3510.534,0.35
3510.5664,0.738
3510.8399,0.932
3511.6166,0.516
3511.7377,0.687
3511.824,0.871
3511.8683,0.668
3511.9163,0.554
3512.2244,0.814
3512.496,0.191
3512.631,0.321
3512.6402,0.923
3512.6771,0.398
3512.8027,0.655
3512.9552,0.797
3513.0428,0.237
3513.0531,0.846
3513.057,0.262
3513.4797,0.914
3513.5908,0.532
3513.8174,0.959
3513.873,0.178
3513.929,0.916
3513.932,0.888
3513.933,0.592
3513.935,0.787
3513.938,0.539
3513.9866,0.873
3514.4108,0.206
3514.6272,0.806
3514.632,0.151
