wave,depth
3500.3331,0.834
3500.5647,0.674
3500.832,0.358
3500.84,0.631
3500.843,0.405
3500.847,0.786
3500.854,0.831
3501.5678,0.234
3501.717,0.731
3502.2802,0.802
3502.5922,0.524
3502.5948,0.673
3502.6216,0.599
3503.467,0.686
3504.216,0.191
3504.4357,0.747
3504.4499,0.332
3504.8605,0.627
3504.8908,0.893
3505.0581,0.66
3505.482,0.396
3505.666,0.718
3505.8922,0.491
3506.229,0.328
3506.3128,0.779
3506.4974,0.737
3506.5801,0.438
3507.1393,0.534
3507.3949,0.673
3507.692,0.426
3507.694,0.613
3507.7817,0.317
3508.2043,0.672
3508.4738,0.686
3508.5179,0.621
3509.1178,0.304
3509.7251,0.374
3509.8357,0.731
3509.841,0.732
3509.8616,0.551
3510.1841,0.307
3510.33,0.627
3510.333,0.749
3510.334,0.654
3510.335,0.845
3510.336,0.876
3510.419,0.616
3510.4388,0.661
3510.455,0.258
3510.5664,0.334
3510.8399,0.887
3511.6166,0.187
3511.7377,0.262
3511.824,0.802
3511.8683,0.332
3511.9163,0.218
3512.2244,0.573
3512.631,0.153
3512.6402,0.759
3512.8027,0.244
3512.9552,0.539
3513.0428,0.209
3513.0531,0.584
3513.4797,0.717
3513.5908,0.156
3513.8174,0.868
3513.929,0.735
3513.932,0.651
3513.935,0.265
3513.9866,0.814
3514.6272,0.512
3515.051,0.743
3515.052,0.906
3515.052,0.885
3515.052,0.756
3515.052,0.816
3516.214,0.606
3516.4085,0.602
3516.5564,0.646
3517.0257,0.157
3517.2994,0.821
3517.4856,0.16
3518.3478,0.726
3518.6343,0.6
3518.6826,0.555
3518.8676,0.596
3519.746,0.234
3519.753,0.523
3519.757,0.271
3519.761,0.748
3519.768,0.8
3520.0075,0.3
3520.019,0.662
3520.0229,0.445
3520.0803,0.6
3520.252,0.832
3520.8462,0.508
3520.874,0.164
3521.2609,0.875
3521.5663,0.709
3521.6218,0.393
3521.834,0.311
3521.8368,0.695
3522.2679,0.689
3522.8976,0.609
3523.069,0.153
3523.1744,0.265
3523.3084,0.636
3523.4331,0.702
3523.4397,0.683
3523.4442,0.547
3523.4487,0.159
3523.5473,0.355
3523.7015,0.209
3523.98,0.228
3524.0409,0.697
3524.0739,0.683
3524.2393,0.733
3524.531,0.778
3524.534,0.841
3524.535,0.789
3524.536,0.898
3524.537,0.915
3524.716,0.695
3524.8336,0.211
3525.807,0.385
3526.0405,0.873
3526.1248,0.151
3526.1655,0.852
3526.2378,0.746
3526.3811,0.777
3526.4245,0.501
3526.467,0.765
3526.5348,0.295
3526.6745,0.771
3526.6828,0.614
3526.7255,0.275
3526.8495,0.762
3526.961,0.303
3527.7925,0.759
3527.8906,0.46
3527.969,0.192
3527.976,0.586
3527.983,0.7
3528.8869,0.268
3529.0326,0.694
3529.523,0.384
3529.8079,0.772
3529.8195,0.764
3529.99,0.151
3530.3866,0.697
3530.5906,0.532
3530.772,0.787
3531.4372,0.526
3531.4904,0.161
3531.71,0.639
3531.8383,0.591
3531.8498,0.217
3531.9999,0.649
3532.1111,0.652
3532.5689,0.595
3533.0063,0.768
3533.1981,0.79
3533.3584,0.659
3533.8542,0.627
3534.5247,0.385
3534.6773,0.22
3534.905,0.329
3534.96,0.192
3535.3178,0.212
3535.4073,0.848
3535.625,0.375
3535.714,0.818
3536.02,0.273
3536.5559,0.812
3536.943,0.178
3537.4916,0.621
3537.6588,0.195
3537.7286,0.696
3537.8946,0.72
3538.2387,0.405
3538.2514,0.263
3538.3056,0.576
3538.52,0.229
3538.5542,0.472
3538.782,0.214
3540.0964,0.342
3540.1208,0.71
3540.7091,0.718
3540.7999,0.324
3541.0831,0.825
3542.0752,0.82
3542.2434,0.599
3542.2799,0.155
3542.639,0.504
3543.2588,0.179
3543.3844,0.506
3543.6749,0.631
3544.2433,0.263
3544.5962,0.502
3544.6295,0.586
3545.0201,0.224
3545.1959,0.811
3545.5274,0.167
3545.6397,0.754
3545.79,0.206
3545.8297,0.408
3546.204,0.266
3547.1599,0.619
3547.1937,0.622
3547.222,0.382
3547.7649,0.374
3547.7979,0.681
3547.8989,0.692
3547.9514,0.16
3548.019,0.593
3548.0202,0.664
3548.1749,0.34
3548.1818,0.581
3548.183,0.791
3548.183,0.737
3548.183,0.247
3548.183,0.495
3548.183,0.213
3549.0027,0.765
3549.2322,0.266
3549.2927,0.194
3549.359,0.212
3549.508,0.167
3549.8643,0.558
3550.22,0.155
3550.5938,0.464
3550.6271,0.317
3551.109,0.182
3551.529,0.389
3551.534,0.583
3551.951,0.733
3552.1054,0.542
3552.4249,0.182
3552.7448,0.354
3552.828,0.708
3552.8298,0.404
3552.8547,0.489
3552.9383,0.155
3553.4785,0.477
3553.4826,0.271
3553.7381,0.76
3554.0085,0.311
3554.071,0.152
3554.1178,0.751
3554.4413,0.35
3554.5013,0.668
3554.6428,0.383
3554.9241,0.847
3555.4491,0.392
3556.594,0.751
3556.6804,0.593
3556.7999,0.836
3556.8777,0.796
3558.4104,0.224
3558.5148,0.887
3558.532,0.859
